CUSTOMER_NUMBER_BLINDED,SALES_OFFICE_DESCRIPTION,DELIVERY_PLANT_DESCRIPTION,ON_BOARDING_DATE,ADDRESS_CITY,ADDRESS_ZIP_CODE,COUNTY,GEO_LONGITUDE,GEO_LATITUDE,CUSTOMER_ACTIVITY_CLUSTER_DESCRIPTION,CUSTOMER_TRADE_CHANNEL_DESCRIPTION,CUSTOMER_SUB_TRADE_CHANNEL_DESCRIPTION,BUSINESS_TYPE_EXTENSION_DESCRIPTION,CUSTOMER_TRADE_CHANNEL_DESCRIPTION2,MARKET_DESCRIPTION,COLD_DRINK_CHANNEL_DESCRIPTION
C00000004581183612949,"Johnstown, CO","Johnstown, CO",2/16/2021,LOUISVILLE,80027-1856,BOULDER,-105.13212,39.978225,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000020225441182764,"Johnstown, CO","Johnstown, CO",6/23/2018,LOVELAND,80537-3928,LARIMER,-105.05217,40.407322,Third Party (Non-Con,All Other,Other All Others,Secondary Volume,All Other,ON PREMISE                    ,AT WORK                       
C00000041189811661531,"Wenatchee, WA","Wenatchee, WA",3/4/2019,ORONDO,98843-9693,DOUGLAS,-120.149002,47.763827,Grocery Shopping,Convenience Store/Pe,Other Convenience St,DSD,Convenience Store/Pe,HOME MARKET                   ,NON COLD DRINK                
C00000015246219711178,"Tacoma, WA","Tacoma Sales Center, WA",10/4/2016,TACOMA,98445-3729,PIERCE,-122.40062,47.155327,Eating & Drinking,Bar/Tavern/Licensed,Other Bar/Tavern/Lic,DSD,Bar/Tavern/Licensed,ON PREMISE                    ,EATING/DRINKING               
C00000204621581071397,"Glendale, AZ","Glendale, AZ",8/27/2014,GOODYEAR,85338-9001,MARICOPA,-112.432375,33.355984,Grocery Shopping,Convenience Store/Pe,Chain Convenience St,DSD,Convenience Store/Pe,HOME MARKET                   ,NON COLD DRINK                
C00000083123387311187,"Draper, UT","Draper, UT",5/13/2010,BOUNTIFUL,84010,DAVIS,-111.892242,40.85141,Eating & Drinking,Quick Service Restau,QSR-Pizza,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000002561293167649,"Lewiston, ID","Lewiston, ID",2/6/2020,MOSCOW,83843-4014,LATAH,-117.025375,46.732595,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000195458421842257,"Draper, UT","Draper, UT",5/18/2009,SALT LAKE CITY,84101,SALT LAKE,-111.896795,40.75523,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000205491417722367,"Tucson, AZ","Tucson, AZ",6/6/2019,TUCSON,85745-2702,PIMA,-110.989475,32.22887,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000054863621531202,"Draper, UT","Draper, UT",10/1/1983,PARK CITY,84060,SUMMIT,-111.49491,40.641975,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000121224717861221,"Spokane, WA","Spokane, WA",3/10/2021,COEUR D ALENE,83815-8236,KOOTENAI,-116.8179,47.70264,Entertainment/Recrea,Amusement,Amusement/Theme Park,DSD,Amusement,ON PREMISE                    ,DESTINATION VENUE             
C00000021851284602215,"Tacoma, WA","Tacoma Sales Center, WA",6/20/2018,TACOMA,98444-4620,PIERCE,-122.43477,47.12825,Eating & Drinking,Quick Service Restau,QSR-Mexican,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000067561910891842,"Twin Falls, ID","Twin Falls, ID",10/25/2018,TWIN FALLS,83301-6602,TWIN FALLS,-114.46029,42.56176,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000104011739262336,"Logan, UT","Logan, UT",1/18/2022,HYRUM,84319-1127,CACHE,-111.83265,41.63502,Eating & Drinking,Other Eating & Drink,Other Eating & Drink,DSD,Other Eating & Drink,ON PREMISE                    ,EATING/DRINKING               
C00000111477917261873,"Tacoma, WA","Tacoma Sales Center, WA",2/22/2022,LACEY,98516-5831,THURSTON,-122.762887,47.061284,Entertainment/Recrea,Leisure,Gaming Facility,DSD,Leisure,ON PREMISE                    ,DESTINATION VENUE             
C00000015062167131930,"Alamosa, CO","Alamosa, CO",11/2/1998,ALAMOSA,81101,ALAMOSA,-105.888125,37.473965,At-Work,Business & Professio,Other Business And P,DSD,Business & Professio,ON PREMISE                    ,AT WORK                       
C00000006451757543470,"Cheyenne, WY","Cheyenne, WY",6/29/1999,CHEYENNE,82009,LARAMIE,-104.83623,41.175315,Entertainment/Recrea,Amusement,Amusement/Theme Park,DSD,Amusement,ON PREMISE                    ,DESTINATION VENUE             
C00001091142123451320,"Price, UT","Price, UT",1/13/2020,PRICE,84501-2841,CARBON,-110.822885,39.60015,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00002478147313412140,"Tacoma, WA","Tacoma Sales Center, WA",3/29/2021,OCEAN SHORES,98569-9610,GRAYS HARBOR,-124.16227,47.014971,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000015020201182759,"Pocatello, ID","Pocatello, ID",1/12/2022,CHUBBUCK,83202-1932,BANNOCK,-112.464989,42.906314,Eating & Drinking,Quick Service Restau,QSR-Asian,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000399196813802096,"Spokane, WA","Spokane, WA",1/4/2018,LIBERTY LAKE,99016-9678,SPOKANE,-117.14054,47.66594,Entertainment/Recrea,Amusement,Amusement/Theme Park,Cold Drinks/ Snacks,Amusement,FULL SERVICE                  ,DESTINATION VENUE             
C00000096722961069149,"Bend, OR","Bend, OR",5/28/2021,BEND,97703-2436,DESCHUTES,-121.29987,44.06952,Eating & Drinking,Street Vendor,Cart/Mobile Food,DSD,Street Vendor,ON PREMISE                    ,EATING/DRINKING               
C00000039259121802047,"Tacoma, WA","Tacoma Sales Center, WA",2/26/2004,OAKVILLE,98568-9506,THURSTON,-123.161594,46.826454,Grocery Shopping,Convenience Store/Pe,Other Convenience St,DSD,Convenience Store/Pe,HOME MARKET                   ,NON COLD DRINK                
C00000000268151418412,"Yuma, AZ","Yuma, AZ",11/3/2006,SOMERTON,85350-7687,YUMA,-114.651671,32.606034,Entertainment/Recrea,Leisure,Gaming Facility,DSD,Leisure,ON PREMISE                    ,DESTINATION VENUE             
C00000221411502408216,"Bellevue, WA","Bellevue, WA",12/7/2012,SEATTLE,98133-8254,KING,-122.344266,47.714801,Eating & Drinking,Quick Service Restau,QSR-Mexican,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000015201122482462,,"Ogden, UT",11/19/2019,MERIDIAN,83642-7992,ADA,-116.383695,43.604815,Third Party (Non-Con,All Other,,DSD,All Other,                              ,                              
C00000248022223151150,"Tempe, AZ","Tempe, AZ",9/9/2015,CHANDLER,85225-2407,MARICOPA,-111.822806,33.291812,Entertainment/Recrea,Recreation,Amusement/Theme Park,DSD,Recreation,ON PREMISE                    ,DESTINATION VENUE             
C00000000092312939579,"Wenatchee, WA","Wenatchee, WA",1/28/2022,RITZVILLE,99169-2263,ADAMS,-118.364575,47.11909,Eating & Drinking,Quick Service Restau,QSR-Mexican,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00001724224910902160,"Arlington, WA","Arlington, WA",3/20/2018,ARLINGTON,98223-8401,SNOHOMISH,-122.17974,48.148522,Eating & Drinking,Full Service Restaur,FSR-All Other,ARTM Distributor,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000113217935372203,"Tucson, AZ","Tucson, AZ",8/7/2018,TUCSON,85713-6218,PIMA,-110.93555,32.17786,Entertainment/Recrea,Amusement,Amusement/Theme Park,Spcl Evnt: One Time,Amusement,ON PREMISE                    ,DESTINATION VENUE             
C00000000586196578323,"Richfield, UT","Richfield, UT",12/4/2019,EPHRAIM,84627-1383,SANPETE,-111.587155,39.35843,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000050320871688397,"Boise, ID","Boise, ID",3/14/2019,MERIDIAN,83642-6751,ADA,-116.348765,43.590365,Eating & Drinking,Quick Service Restau,QSR-Other Fast Food,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000753104420401532,"Boise, ID","Boise, ID",4/30/2019,MCCALL,83638-4469,ADAMS,-116.09826,44.903755,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000005432265193526,"Draper, UT","Draper, UT",7/29/2020,MIDWAY,84049-6320,WASATCH,-111.47383,40.51221,Eating & Drinking,Quick Service Restau,QSR-Other Fast Food,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00001731100018771890,"Richfield, UT","Richfield, UT",11/12/2020,EPHRAIM,84627-1317,SANPETE,-111.587826,39.350657,Eating & Drinking,Other Eating & Drink,Other Eating & Drink,DSD,Other Eating & Drink,ON PREMISE                    ,EATING/DRINKING               
C00000017482231631969,"Glenwood Springs, CO","Glenwood Springs, CO",10/28/2009,SNOWMASS VILLAGE,81615,PITKIN,-106.946647,39.209628,Travel/Transportatio,Lodging,Other Lodging,DSD,Lodging,ON PREMISE                    ,LODGING                       
C00000002314017921481,"Wilsonville, OR","Wilsonville, OR",4/9/2020,HILLSBORO,97124-9441,WASHINGTON,-122.910445,45.563504,Entertainment/Recrea,Amusement,Amusement/Theme Park,DSD,Amusement,ON PREMISE                    ,DESTINATION VENUE             
C00000023358461154438,"Glenwood Springs, CO","Glenwood Springs, CO",6/2/2020,BASALT,81621-8408,EAGLE,-107.084895,39.387385,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00001660245321382350,"Flagstaff, AZ","Flagstaff, AZ",4/9/2021,PAYSON,85541-5443,GILA,-111.329985,34.226665,Eating & Drinking,Other Eating & Drink,Other Eating & Drink,DSD,Other Eating & Drink,ON PREMISE                    ,EATING/DRINKING               
C00000019246551829447,"Bellevue, WA","Bellevue, WA",4/5/2018,BELLEVUE,98004-5600,KING,-122.192562,47.61552,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000014444942065753,"Wilsonville, OR","Wilsonville, OR",8/20/1994,PORTLAND,97210-1810,MULTNOMAH,-122.700596,45.541518,At-Work,Business & Professio,Other Business And P,DSD,Business & Professio,ON PREMISE                    ,AT WORK                       
C00000101753511672407,"Denver, CO","Denver, CO",6/22/2018,DENVER,80211-3123,DENVER,-105.03755,39.762125,Third Party (Non-Con,All Other,Other All Others,Secondary Volume,All Other,ON PREMISE                    ,AT WORK                       
C00000005575187151767,"Pueblo, CO","Pueblo, CO",7/25/2018,PUEBLO,81007-1646,PUEBLO,-104.742304,38.333501,Eating & Drinking,Quick Service Restau,QSR-Mexican,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000000483387204133,"Wilsonville, OR","Wilsonville, OR",7/23/2015,TILLAMOOK,97141-7785,TILLAMOOK,-123.844255,45.472595,Other Shopping & Ser,General Merchandiser,Other General Mercha,DSD,General Merchandiser,ON PREMISE                    ,RETAIL                        
C00000148117741997418,"Bremerton, WA","Bremerton, WA",3/22/2018,POULSBO,98370-7868,KITSAP,-122.588347,47.695308,Entertainment/Recrea,Amusement,Amusement/Theme Park,DSD,Amusement,ON PREMISE                    ,DESTINATION VENUE             
